Tail Number,task_code,Started_Date_x,Completed_Date_x,oamt_barcode
123456,25-66-02,2019-06-06 15:27:00,2019-06-06 15:57:00,CMWE
123456,25-71-01,2019-06-03 15:45:48,2019-06-03 17:32:00,CL2A
123456,25-71-01,2019-06-03 15:48:00,2019-06-03 17:33:00,CL2A
123456,25-71-01,2019-06-03 16:15:00,2019-06-03 17:15:00,CL2A
123456,25-71-01,2019-06-03 21:03:00,2019-06-03 22:58:06,CL2A
123456,25-71-01,2019-06-03 22:58:06,2019-06-03 23:03:00,CL2A
123456,25-71-01,2019-06-04 0:56:00,2019-06-04 1:56:00,CL2A
123456,25-71-01,2019-06-04 11:10:00,2019-06-04 12:10:00,CL2A
123456,25-71-08,2019-06-03 15:35:00,2019-06-03 16:35:00,CKZD
123456,25-71-08,2019-06-03 16:56:00,2019-06-03 17:26:00,CKZD
123456,49-10-01,2019-06-21 21:56:00,2019-06-21 22:56:00,CX0N
123456,49-10-01,2019-06-25 1:13:00,2019-06-25 4:13:00,CX0N
123456,49-10-01,2019-06-25 13:40:00,2019-06-25 15:25:00,CX0N
123456,49-10-01,2019-06-27 12:42:00,2019-06-27 13:27:00,CX0N
123456,49-11-04,2019-06-21 10:02:00,2019-06-21 13:02:00,CW46
123456,49-11-04,2019-06-21 12:26:00,2019-06-21 14:26:00,CW46
123456,49-61-00,2019-06-21 18:22:00,2019-06-21 21:22:00,CX07
123456,64-10-01,2019-06-10 18:31:12,2019-06-10 19:21:00,CMVV
123456,64-10-01,2019-06-10 18:55:00,2019-06-10 19:10:00,CMVV
123456,64-10-01,2019-06-06 9:08:00,2019-06-06 15:08:00,CMVT
123456,64-10-01,2019-06-06 14:58:00,2019-06-06 15:58:00,CMVT
123456,64-10-01,2019-06-06 16:18:12,2019-06-06 16:26:00,CMVT
123456,64-10-01,2019-06-06 16:19:48,2019-06-06 16:30:00,CMVT
123456,64-10-08,2019-06-05 19:54:48,2019-06-05 19:56:00,CML1
123456,64-10-08,2019-06-05 21:22:12,2019-06-05 22:42:00,CML1
123456,64-10-08,2019-06-06 10:40:00,2019-06-06 13:00:35,CML1
123456,64-10-08,2019-06-06 13:00:35,2019-06-06 15:40:00,CML1
123456,64-10-08,2019-06-06 15:11:00,2019-06-06 16:11:00,CML1
123456,64-20-03,2019-06-10 18:37:12,2019-06-10 19:08:06,CNTB
123456,64-20-03,2019-06-10 18:57:00,2019-06-10 19:08:06,CNTB
123456,64-20-03,2019-06-10 19:08:06,2019-06-10 19:12:00,CNTB
123456,64-20-03,2019-06-10 19:08:06,2019-06-10 19:27:00,CNTB
123456,64-20-03,2019-06-07 18:40:00,2019-06-07 19:40:00,CNHY
123456,64-20-03,2019-06-07 19:40:48,2019-06-07 19:51:00,CNHY
123456,86-40-02,2019-06-05 18:48:00,2019-06-05 19:18:00,CLS4
123456,86-40-02,2019-06-10 15:36:00,2019-06-10 16:06:00,CP34
123456,86-40-02,2019-06-11 18:33:48,2019-06-11 18:44:00,CPFS
123456,86-40-02,2019-06-12 21:31:48,2019-06-12 21:42:00,CQBR
123456,86-40-02,2019-06-13 20:44:12,2019-06-13 20:49:00,CQTK
